eval,pooled,static,passed,obj,x0,x1,x2,x3
172,43.7620,43.1460,0,-56.2380,2.01433,0.18353,0.64995,0.20041
173,43.6000,44.2850,1,43.6000,0.40050,0.02359,0.76530,-0.07657
174,44.1540,44.0530,1,44.1540,1.51805,0.09026,0.80106,0.10991
175,44.2670,44.1730,1,44.2670,1.67391,0.06531,0.14533,-0.00407
176,43.8310,43.0380,0,-56.1690,0.64645,0.16315,0.34473,0.25774
177,44.4950,43.6470,1,44.4950,1.08367,0.14391,0.23436,0.05242
178,44.5310,43.8190,1,44.5310,0.93845,0.10597,0.24003,0.09534
179,44.1640,43.7080,1,44.1640,1.89933,0.14996,0.12677,0.08146
180,44.3060,42.2420,0,-55.6940,1.13251,0.28388,0.20336,-0.01023
181,44.3160,43.5570,1,44.3160,1.29948,0.15633,0.59105,0.12431
182,43.5930,43.8970,1,43.5930,0.90980,0.09078,1.31479,0.07402
183,43.7120,42.6850,0,-56.2880,0.52397,0.17244,0.48074,0.27090
184,44.1940,43.0160,0,-55.8060,0.69807,0.16647,0.28832,0.16385
185,43.9970,44.6030,1,43.9970,0.31848,-0.02266,1.00756,0.05125
186,44.0860,43.1340,0,-55.9140,2.17979,0.17731,0.28223,0.08548
187,44.3990,42.9220,0,-55.6010,1.26561,0.22684,0.12637,0.05008
188,43.7610,42.7680,0,-56.2390,1.24527,0.25025,0.44658,-0.09682
189,44.2140,41.6050,0,-55.7860,0.95332,0.31809,0.69407,0.08066
190,44.4220,43.4230,1,44.4220,0.53760,0.09253,0.54926,0.01950
191,43.1890,43.4190,1,43.1890,2.87493,0.11513,0.90351,0.12505
192,44.1130,43.8190,1,44.1130,0.93845,0.10597,0.92409,0.09534
193,43.7770,43.2690,1,43.7770,2.07430,0.17000,0.54037,0.18538
194,43.8430,42.6490,0,-56.1570,0.33432,0.13470,0.13983,0.22579
195,43.8710,44.5260,1,43.8710,0.61874,0.01162,0.25866,0.27598
196,44.2650,42.3670,0,-55.7350,1.58410,0.27306,0.40216,0.11477
197,44.4160,43.3680,1,44.4160,0.59776,0.10748,0.18729,0.04731
198,44.0240,44.2830,1,44.0240,1.94489,0.03171,0.25081,0.11160
199,43.9080,43.2750,1,43.9080,1.76473,0.18254,0.22811,-0.07320
200,43.8710,43.6290,1,43.8710,1.72917,0.15947,0.93988,0.09004
201,43.7310,44.8680,1,43.7310,1.35457,-0.06917,0.41215,0.27233
202,43.4660,41.2570,0,-56.5340,1.26261,0.35423,1.10970,0.17353
203,44.2650,42.3670,0,-55.7350,1.58410,0.27306,0.40216,0.11477
204,44.3620,42.5740,0,-55.6380,1.19632,0.26348,0.64995,0.02819
205,44.3680,44.5470,1,44.3680,0.86811,0.02359,0.76530,0.10387
206,43.9140,44.3090,1,43.9140,1.17116,0.06293,0.98982,0.07606
207,44.1370,44.6360,1,44.1370,1.67391,-0.04726,0.68040,0.06243
208,44.0850,43.3840,1,44.0850,0.52867,0.09748,0.71776,0.17638
209,44.1190,42.3950,0,-55.8810,1.08367,0.26861,0.23436,0.17316
210,43.9230,42.7150,0,-56.0770,0.93845,0.21717,0.24003,0.23030
211,43.7470,44.0860,1,43.7470,2.39470,0.02155,0.64544,0.03941
212,44.4770,42.9520,0,-55.5230,0.44416,0.13164,0.50092,0.05636
213,44.5490,43.9570,1,44.5490,0.72593,0.07139,0.49493,0.02684
214,44.2980,43.9820,1,44.2980,1.80440,0.09078,0.44186,0.09962
215,43.6440,44.9590,1,43.6440,0.70386,-0.08752,1.20102,0.11100
216,43.9750,43.0070,0,-56.0250,1.12595,0.20784,0.63745,0.23633
217,43.3580,39.9970,0,-56.6420,0.31848,0.35960,1.00756,0.13430
218,42.8420,44.3030,1,42.8420,2.13215,-0.02855,0.24376,-0.15615
219,43.2910,44.3190,1,43.2910,1.34607,0.05958,1.38544,0.00407
220,43.7780,43.9640,1,43.7780,2.45065,0.04120,0.32420,0.07534
221,44.2760,43.5700,1,44.2760,1.93097,0.15740,0.34642,0.10355
222,44.3040,41.7730,0,-55.6960,0.79403,0.29806,0.38923,0.01950
223,44.0980,42.5990,0,-55.9020,2.03855,0.24388,0.57382,0.02131
224,44.5460,42.8210,0,-55.4540,1.01978,0.21356,0.35462,0.09534
