eval,pooled,static,passed,obj,x0,x1,x2,x3,x4,x5,x6,x7
84,42.7680,42.1210,0,-57.2320,1.65283,0.28317,0.84772,0.89539,0.55188,-0.15308,-0.93568,-0.26382
85,42.3260,42.9180,0,-57.6740,1.49004,0.22484,-0.25601,-0.22117,0.98599,0.33165,0.50491,-0.20895
86,43.4300,42.2680,0,-56.5700,2.90531,0.22160,0.64940,0.92405,0.42490,0.15274,-0.69476,-0.19924
87,44.0350,43.1250,0,-55.9650,2.22795,0.17450,0.82174,-0.92356,0.82318,0.11753,-0.73385,-0.42877
88,43.7200,39.0330,0,-56.2800,0.96353,0.42976,0.34286,-0.15519,0.23234,0.11429,0.39958,-0.62157
89,43.7020,42.8120,0,-56.2980,0.95559,0.17376,0.56778,-0.63778,0.89699,0.16782,0.09918,0.90876
90,43.7530,44.8080,1,43.7530,0.61293,-0.11278,0.39343,-0.34709,0.36845,-0.14401,-0.56488,-0.74623
91,42.0540,37.5680,0,-57.9460,1.27290,0.58179,-0.68661,0.33357,0.20593,-0.18911,0.60356,0.41543
92,43.4850,44.4030,1,43.4850,1.70586,0.00829,0.13522,0.61915,1.09518,0.04682,0.73516,-0.37380
93,44.0610,39.4630,0,-55.9390,1.32653,0.49760,-0.23496,0.48402,0.49201,0.07311,0.79429,-0.16347
94,43.9030,40.8120,0,-56.0970,2.45862,0.39031,0.27218,0.42850,0.24428,-0.00133,0.77483,-0.31330
95,43.4610,42.1750,0,-56.5390,1.56064,0.30143,-0.23819,-0.13159,1.06687,0.14630,0.76756,0.10491
96,42.8760,40.8130,0,-57.1240,1.28662,0.38571,-0.69026,-0.38429,1.03601,-0.11493,0.64133,0.83909
97,43.2210,38.4240,0,-56.7790,0.33865,0.41171,0.97552,-0.90854,0.85530,0.08862,-0.83590,0.53884
98,43.4820,42.0850,0,-56.5180,0.43755,0.15677,0.01654,-0.90847,1.20245,0.16389,-0.97812,-0.10424
99,43.6540,44.5210,1,43.6540,1.52077,-0.00346,-0.69177,-0.51002,0.19320,0.23868,0.48929,0.18589
100,42.7660,40.9630,0,-57.2340,2.76357,0.37267,0.38813,0.46826,1.22843,-0.02036,0.66649,0.58812
101,43.6710,41.2240,0,-56.3290,2.16357,0.36154,-0.48260,-0.37840,0.65425,-0.09811,0.57609,-0.90820
102,42.4740,44.3650,1,42.4740,2.19399,-0.02034,0.34952,-0.43160,0.20605,0.44935,0.41270,0.44499
103,42.9040,39.7470,0,-57.0960,2.00855,0.49923,0.17377,-0.08829,0.27627,-0.14724,-0.13971,0.00828
104,42.3250,43.5170,1,42.3250,0.50351,0.11003,-0.81272,0.24104,1.25724,0.40899,-0.61718,-0.94485
105,43.2720,38.6810,0,-56.7280,1.27556,0.53526,0.65337,0.49145,1.02441,0.07981,-0.68228,0.11062
106,43.3030,43.1520,0,-56.6970,1.83221,0.20907,-0.95623,-0.74699,0.32948,0.30802,0.27255,0.47928
107,43.9790,44.7390,1,43.9790,0.73996,-0.14335,0.32202,-0.70862,0.88095,0.05870,0.38023,0.68521
108,43.7930,44.8760,1,43.7930,0.86789,-0.11870,0.29669,-0.65288,0.83526,-0.02245,0.35032,0.63131
109,44.0380,43.6520,1,44.0380,1.80831,0.15306,0.43583,-0.41261,0.75500,0.11783,0.69841,-0.27734
110,43.9480,43.1960,0,-56.0520,0.85327,0.18491,0.66409,0.99501,0.48331,0.24077,-0.87333,-0.49530
111,44.0380,42.2680,0,-55.9620,1.10779,0.28993,-0.41257,-0.09362,0.25699,0.15975,0.22976,-0.59042
112,43.0250,40.3240,0,-56.9750,1.58359,0.43143,0.06453,0.26238,0.22979,0.33758,-0.31909,0.29278
113,42.6670,44.4190,1,42.6670,2.58667,-0.17853,-0.08430,0.04332,0.97586,0.17426,-0.76202,-0.61655
114,43.9050,44.9280,1,43.9050,1.10214,-0.12919,0.97417,-0.67807,0.80389,0.00149,-0.54740,-0.11178
115,43.5440,44.1070,1,43.5440,2.79273,-0.04139,0.52587,0.59277,0.49609,-0.00227,0.23728,-0.35243
116,42.9460,43.7110,1,42.9460,2.96388,0.03690,-0.09362,0.08674,0.83679,0.03202,0.78689,0.90735
117,44.0270,41.8010,0,-55.9730,1.43084,0.33793,-0.35690,0.80113,0.29834,0.13248,0.55800,0.64628
118,43.4440,39.4730,0,-56.5560,2.47073,0.53806,-0.88609,-0.34193,0.75389,-0.05317,-0.00100,-0.94936
119,43.2430,42.9180,0,-56.7570,2.55315,0.18693,-0.78165,0.00965,0.60776,0.15681,-0.62511,0.24774
120,43.6910,42.1040,0,-56.3090,2.57272,0.27228,-0.55659,0.71399,0.28420,-0.03247,0.82557,-0.86097
121,43.6530,43.2610,1,43.6530,1.28224,0.18298,-0.85360,0.00000,0.19002,0.24522,-0.52104,0.00000
122,43.7370,40.5800,0,-56.2630,0.99646,0.41630,-0.80196,0.55820,0.75036,0.18109,0.45063,0.09202
123,43.1700,41.7550,0,-56.8300,2.80410,0.28598,-0.45479,-0.05403,0.87838,0.05974,-0.49693,0.27268
124,43.0140,44.7280,1,43.0140,0.55170,-0.05687,0.77857,-0.18594,1.29608,-0.12423,0.46683,0.14104
125,42.8910,44.0570,1,42.8910,2.63481,-0.01041,0.16687,0.86221,0.94058,0.10316,0.92304,-0.20895
126,43.7350,44.6310,1,43.7350,0.67155,-0.07111,0.90662,-0.61129,0.83395,-0.05832,0.86666,0.60484
127,44.3920,44.8580,1,44.3920,0.80672,-0.10023,-0.28159,-0.92356,0.62735,0.11753,-0.32291,-0.42877
128,43.0170,40.3240,0,-56.9830,1.65727,0.42976,0.07011,0.74084,0.38639,-0.19390,0.47943,-0.82487
129,44.0590,44.4240,1,44.0590,1.56942,0.04040,0.48244,-0.94368,0.39137,0.16782,-0.99930,-0.57617
130,44.0090,44.7880,1,44.0090,1.60046,-0.14330,0.39343,-0.09186,0.51247,0.16218,-0.20893,0.12809
131,43.0210,36.4110,0,-56.9790,1.16103,0.58179,-0.31026,-0.67225,0.86800,0.10141,-0.63321,-0.19126
132,43.3060,43.8860,1,43.3060,2.69485,0.03264,0.13522,0.99514,0.16590,0.08552,-0.53519,-0.38883
133,44.3750,41.8700,0,-55.6250,0.40278,0.22343,-0.42491,0.23905,0.34144,0.07311,-0.43676,-0.63485
134,43.7930,43.9110,1,43.7930,1.99425,0.09982,-0.38975,-0.38332,0.50970,-0.06078,-0.43553,-0.51192
